Notes,State,State Code,County,County Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,Alabama,1,"Autauga County, AL",1001,188,144568,130,111.5,148.6,9.5
,Alabama,1,"Baldwin County, AL",1003,581,514161,113,103.8,122.2,4.7
,Alabama,1,"Barbour County, AL",1005,118,71488,165.1,135.3,194.8,15.2
,Alabama,1,"Bibb County, AL",1007,123,62810,195.8,161.2,230.4,17.7
,Alabama,1,"Blount County, AL",1009,194,148438,130.7,112.3,149.1,9.4
,Alabama,1,"Bullock County, AL",1011,45,28974,155.3,113.3,207.8,23.2
,Alabama,1,"Butler County, AL",1013,135,50897,265.2,220.5,310,22.8
,Alabama,1,"Calhoun County, AL",1015,667,301458,221.3,204.5,238,8.6
,Alabama,1,"Chambers County, AL",1017,165,88018,187.5,158.9,216.1,14.6
,Alabama,1,"Cherokee County, AL",1019,132,66787,197.6,163.9,231.4,17.2
,Alabama,1,"Chilton County, AL",1021,200,114392,174.8,150.6,199.1,12.4
,Alabama,1,"Choctaw County, AL",1023,84,33661,249.5,199,309,27.2
,Alabama,1,"Clarke County, AL",1025,117,62742,186.5,152.7,220.3,17.2
,Alabama,1,"Clay County, AL",1027,71,34499,205.8,160.7,259.6,24.4
,Alabama,1,"Cleburne County, AL",1029,82,38107,215.2,171.1,267.1,23.8
,Alabama,1,"Coffee County, AL",1031,166,133034,124.8,105.8,143.8,9.7
,Alabama,1,"Colbert County, AL",1033,289,140784,205.3,181.6,228.9,12.1
,Alabama,1,"Conecuh County, AL",1035,79,31515,250.7,198.5,312.4,28.2
,Alabama,1,"Coosa County, AL",1037,46,29851,154.1,112.8,205.5,22.7
,Alabama,1,"Covington County, AL",1039,190,95215,199.5,171.2,227.9,14.5
,Alabama,1,"Crenshaw County, AL",1041,52,35548,146.3,109.3,191.8,20.3
,Alabama,1,"Cullman County, AL",1043,332,210148,158,141,175,8.7
,Alabama,1,"Dale County, AL",1045,216,129329,167,144.7,189.3,11.4
,Alabama,1,"Dallas County, AL",1047,266,102988,258.3,227.2,289.3,15.8
,Alabama,1,"DeKalb County, AL",1049,274,181628,150.9,133,168.7,9.1
,Alabama,1,"Elmore County, AL",1051,300,218040,137.6,122,153.2,7.9
