County,County ID,MYS,Education Bin,Median Household Income,Income Bin,Crude Rate,Mortality Bin
"Autauga County, AL",1001,14.293999999999999,8.0,53748.0,8.0,130.0,6.0
"Baldwin County, AL",1003,14.796,9.0,50976.0,8.0,113.0,5.0
"Barbour County, AL",1005,13.027999999999999,1.0,32111.0,1.0,165.1,8.0
"Bibb County, AL",1007,13.111999999999998,2.0,40113.0,3.0,195.8,9.0
"Blount County, AL",1009,13.328,3.0,46377.0,6.0,130.7,7.0
"Bullock County, AL",1011,12.6,1.0,28180.0,1.0,155.3,8.0
"Butler County, AL",1013,13.412,3.0,32687.0,1.0,265.2,10.0
"Calhoun County, AL",1015,13.726,5.0,40420.0,3.0,221.3,10.0
"Chambers County, AL",1017,13.174,2.0,35082.0,2.0,187.5,9.0
"Cherokee County, AL",1019,13.386,3.0,38792.0,3.0,197.6,10.0
"Chilton County, AL",1021,13.286,3.0,41875.0,4.0,174.8,9.0
"Choctaw County, AL",1023,13.13,2.0,33960.0,1.0,249.5,10.0
"Clarke County, AL",1025,13.064,2.0,35439.0,2.0,186.5,9.0
"Clay County, AL",1027,12.972000000000001,1.0,36257.0,2.0,205.8,10.0
"Cleburne County, AL",1029,12.898,1.0,40936.0,4.0,215.2,10.0
"Coffee County, AL",1031,14.24,7.0,46544.0,6.0,124.8,6.0
"Colbert County, AL",1033,13.75,5.0,42121.0,4.0,205.3,10.0
"Conecuh County, AL",1035,12.788000000000002,1.0,28629.0,1.0,250.7,10.0
"Coosa County, AL",1037,12.783999999999999,1.0,35067.0,2.0,154.1,8.0
"Covington County, AL",1039,13.442,3.0,35344.0,2.0,199.5,10.0
"Crenshaw County, AL",1041,13.224,2.0,35266.0,2.0,146.3,7.0
"Cullman County, AL",1043,13.486,3.0,39767.0,3.0,158.0,8.0
"Dale County, AL",1045,13.75,5.0,41937.0,4.0,167.0,9.0
"Dallas County, AL",1047,13.272,2.0,28339.0,1.0,258.3,10.0
"DeKalb County, AL",1049,12.915999999999999,1.0,37006.0,2.0,150.9,8.0
"Elmore County, AL",1051,14.082,7.0,53275.0,8.0,137.6,7.0
"Escambia County, AL",1053,13.033999999999999,1.0,35211.0,2.0,170.3,9.0
"Etowah County, AL",1055,13.626,4.0,39469.0,3.0,214.3,10.0
"Fayette County, AL",1057,13.22,2.0,36507.0,2.0,205.0,10.0
"Franklin County, AL",1059,13.038000000000002,1.0,35194.0,2.0,187.9,9.0
"Geneva County, AL",1061,13.104000000000001,2.0,35283.0,2.0,165.2,8.0
"Greene County, AL",1063,12.87,1.0,25783.0,1.0,302.7,10.0
"Hale County, AL",1065,13.24,2.0,33758.0,1.0,252.7,10.0
"Henry County, AL",1067,13.458,3.0,40511.0,3.0,151.2,8.0
"Houston County, AL",1069,14.014000000000001,6.0,41369.0,4.0,142.8,7.0
"Jackson County, AL",1071,13.114,2.0,39071.0,3.0,204.1,10.0
"Jefferson County, AL",1073,14.914000000000001,9.0,46473.0,6.0,138.6,7.0
"Lamar County, AL",1075,13.187999999999999,2.0,35969.0,2.0,243.4,10.0
"Lauderdale County, AL",1077,14.006000000000002,6.0,42716.0,4.0,163.7,8.0
"Lawrence County, AL",1079,12.934,1.0,41138.0,4.0,208.7,10.0
"Lee County, AL",1081,15.122,10.0,44655.0,5.0,91.9,3.0
"Limestone County, AL",1083,14.085999999999999,7.0,51636.0,8.0,157.0,8.0
"Lowndes County, AL",1085,12.99,1.0,30416.0,1.0,237.0,10.0
"Macon County, AL",1087,13.782,5.0,29132.0,1.0,283.5,10.0
"Madison County, AL",1089,15.655999999999999,10.0,58895.0,9.0,130.8,7.0
"Marengo County, AL",1091,13.426000000000002,3.0,33759.0,1.0,262.3,10.0
"Marion County, AL",1093,13.26,2.0,35094.0,2.0,257.3,10.0
"Marshall County, AL",1095,13.502,3.0,38922.0,3.0,198.9,10.0
"Mobile County, AL",1097,14.13,7.0,42506.0,4.0,157.1,8.0
"Monroe County, AL",1099,13.136000000000001,2.0,35090.0,2.0,206.9,10.0
"Montgomery County, AL",1101,14.815999999999999,9.0,43255.0,5.0,145.3,7.0
"Morgan County, AL",1103,13.982000000000001,6.0,45601.0,6.0,166.3,8.0
"Perry County, AL",1105,13.136,2.0,25904.0,1.0,279.9,10.0
"Pickens County, AL",1107,13.112,2.0,32962.0,1.0,232.2,10.0
"Pike County, AL",1109,13.986,6.0,33963.0,1.0,162.8,8.0
"Randolph County, AL",1111,13.288,3.0,36940.0,2.0,263.6,10.0
"Russell County, AL",1113,13.7,4.0,36080.0,2.0,133.1,7.0
"St. Clair County, AL",1115,13.584000000000001,4.0,53082.0,8.0,153.7,8.0
"Shelby County, AL",1117,15.714,10.0,70097.0,10.0,77.1,2.0
"Sumter County, AL",1119,13.454,3.0,25344.0,1.0,202.4,10.0
"Talladega County, AL",1121,13.264000000000001,2.0,38351.0,3.0,201.3,10.0
"Tallapoosa County, AL",1123,13.515999999999998,4.0,38042.0,3.0,178.3,9.0
"Tuscaloosa County, AL",1125,14.682,9.0,45939.0,6.0,138.0,7.0
"Walker County, AL",1127,13.027999999999999,1.0,37571.0,2.0,293.7,10.0
