State,County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,All Ages in Poverty Count LB 90%,All Ages in Poverty Count UB 90%,All Ages in Poverty Percent,All Ages in Poverty Percent LB 90%,All Ages in Poverty Percent UB 90%,Median Household Income in Dollars,Median Household Income in Dollars LB 90%,Median Household Income in Dollars UB 90%
0,0,United States,310764925,47240290,46990033,47490547,15.2,15.1,15.3,54134,54052,54216
1,1001,Autauga County (AL),54905,7206,5914,8497,13.1,10.8,15.5,53748,49752,57745
1,1003,Baldwin County (AL),197091,25850,21888,29811,13.1,11.1,15.1,50976,48035,53917
1,1005,Barbour County (AL),23311,6731,5511,7952,28.9,23.6,34.1,32111,29316,34907
1,1007,Bibb County (AL),20316,4268,3359,5177,21.0,16.5,25.5,40113,36439,43787
1,1009,Blount County (AL),57209,9115,7568,10661,15.9,13.2,18.6,46377,42665,50089
1,1011,Bullock County (AL),8884,3107,2426,3788,35.0,27.3,42.6,28180,25534,30826
1,1013,Butler County (AL),19852,5189,4315,6064,26.1,21.7,30.5,32687,29769,35605
1,1015,Calhoun County (AL),113124,22724,19917,25531,20.1,17.6,22.6,40420,37896,42944
1,1017,Chambers County (AL),33588,7229,5945,8513,21.5,17.7,25.3,35082,32340,37824
1,1019,Cherokee County (AL),25632,4846,3850,5841,18.9,15.0,22.8,38792,35412,42171
1,1021,Chilton County (AL),43454,8433,6957,9909,19.4,16.0,22.8,41875,38283,45467
1,1023,Choctaw County (AL),13159,3032,2445,3619,23.0,18.6,27.5,33960,30953,36967
1,1025,Clarke County (AL),24583,6036,5001,7070,24.6,20.3,28.8,35439,32135,38744
1,1027,Clay County (AL),13228,2527,1997,3056,19.1,15.1,23.1,36257,32946,39568
1,1029,Cleburne County (AL),14747,2670,2144,3196,18.1,14.5,21.7,40936,36969,44902
1,1031,Coffee County (AL),50396,8168,6884,9452,16.2,13.7,18.8,46544,42967,50120
1,1033,Colbert County (AL),53832,9049,7516,10582,16.8,14.0,19.7,42121,39007,45235
1,1035,Conecuh County (AL),12641,3761,3054,4468,29.8,24.2,35.3,28629,25832,31427
1,1037,Coosa County (AL),10570,2062,1611,2514,19.5,15.2,23.8,35067,31669,38464
1,1039,Covington County (AL),37214,7657,6347,8967,20.6,17.1,24.1,35344,32542,38145
1,1041,Crenshaw County (AL),13810,2871,2312,3431,20.8,16.7,24.8,35266,31859,38673
1,1043,Cullman County (AL),80228,13913,11786,16039,17.3,14.7,20.0,39767,37098,42436
1,1045,Dale County (AL),48690,9803,8421,11184,20.1,17.3,23.0,41937,38800,45074
1,1047,Dallas County (AL),41012,14208,12315,16101,34.6,30.0,39.3,28339,26144,30535
1,1049,DeKalb County (AL),70157,14491,12140,16841,20.7,17.3,24.0,37006,34253,39759
1,1051,Elmore County (AL),75647,10452,8616,12287,13.8,11.4,16.2,53275,49173,57376
1,1053,Escambia County (AL),34508,8872,7394,10349,25.7,21.4,30.0,35211,32057,38365
1,1055,Etowah County (AL),101380,19501,16672,22331,19.2,16.4,22.0,39469,36977,41961
1,1057,Fayette County (AL),16555,3296,2609,3982,19.9,15.8,24.1,36507,33159,39854
1,1059,Franklin County (AL),31286,6683,5437,7928,21.4,17.4,25.3,35194,32282,38106
1,1061,Geneva County (AL),26456,6008,4918,7098,22.7,18.6,26.8,35283,32235,38331
1,1063,Greene County (AL),8563,2978,2360,3596,34.8,27.6,42.0,25783,23171,28395
1,1065,Hale County (AL),14919,3995,3248,4742,26.8,21.8,31.8,33758,30508,37007
1,1067,Henry County (AL),16991,3071,2423,3719,18.1,14.3,21.9,40511,36752,44270
1,1069,Houston County (AL),102421,19458,17523,21393,19.0,17.1,20.9,41369,39213,43526
1,1071,Jackson County (AL),52031,9487,7967,11007,18.2,15.3,21.2,39071,36005,42136
1,1073,Jefferson County (AL),645255,116492,108157,124826,18.1,16.8,19.3,46473,44768,48179
1,1075,Lamar County (AL),13852,3032,2477,3586,21.9,17.9,25.9,35969,32501,39438
1,1077,Lauderdale County (AL),90617,16058,13830,18287,17.7,15.3,20.2,42716,40211,45220
1,1079,Lawrence County (AL),33137,5931,4826,7035,17.9,14.6,21.2,41138,37527,44749
1,1081,Lee County (AL),148954,31948,28972,34924,21.4,19.5,23.4,44655,41894,47416
1,1083,Limestone County (AL),87301,12095,10061,14129,13.9,11.5,16.2,51636,48083,55189
1,1085,Lowndes County (AL),10487,3392,2843,3940,32.3,27.1,37.6,30416,27366,33466
1,1087,Macon County (AL),17782,5743,4620,6865,32.3,26.0,38.6,29132,26504,31759
1,1089,Madison County (AL),342231,46205,41355,51056,13.5,12.1,14.9,58895,56068,61721
1,1091,Marengo County (AL),19803,5255,4378,6132,26.5,22.1,31.0,33759,30538,36981
1,1093,Marion County (AL),29349,5959,4793,7126,20.3,16.3,24.3,35094,32167,38020
1,1095,Marshall County (AL),93427,19189,16538,21839,20.5,17.7,23.4,38922,36111,41734
1,1097,Mobile County (AL),407726,80532,72751,88313,19.8,17.8,21.7,42506,40427,44585
1,1099,Monroe County (AL),21735,5663,4716,6610,26.1,21.7,30.4,35090,31678,38503
1,1101,Montgomery County (AL),218075,47029,41855,52203,21.6,19.2,23.9,43255,41038,45472
1,1103,Morgan County (AL),117480,19005,16243,21768,16.2,13.8,18.5,45601,42445,48757
1,1105,Perry County (AL),9061,3531,2817,4246,39.0,31.1,46.9,25904,23417,28390
1,1107,Pickens County (AL),18724,4580,3707,5452,24.5,19.8,29.1,32962,29786,36137
1,1109,Pike County (AL),31265,8087,6781,9392,25.9,21.7,30.0,33963,31028,36897
1,1111,Randolph County (AL),22197,4755,3860,5650,21.4,17.4,25.5,36940,33675,40205
1,1113,Russell County (AL),58282,12911,10787,15036,22.2,18.5,25.8,36080,33271,38888
1,1115,St. Clair County (AL),84554,11566,9548,13584,13.7,11.3,16.1,53082,49660,56504
1,1117,Shelby County (AL),203295,17503,14892,20114,8.6,7.3,9.9,70097,66695,73499
1,1119,Sumter County (AL),12378,4412,3535,5289,35.6,28.6,42.7,25344,22735,27953
1,1121,Talladega County (AL),77878,16500,14014,18985,21.2,18.0,24.4,38351,35325,41377
1,1123,Tallapoosa County (AL),40406,8807,7502,10113,21.8,18.6,25.0,38042,34827,41257
1,1125,Tuscaloosa County (AL),191938,35433,31184,39681,18.5,16.2,20.7,45939,43553,48326
1,1127,Walker County (AL),64626,13900,12001,15798,21.5,18.6,24.4,37571,34558,40583
1,1129,Washington County (AL),16699,3337,2682,3992,20.0,16.1,23.9,40368,36805,43932
1,1131,Wilcox County (AL),11050,3708,2964,4453,33.6,26.8,40.3,23315,21054,25576
1,1133,Winston County (AL),23711,4962,4048,5877,20.9,17.1,24.8,35382,32347,38417
2,2013,Aleutians East Borough (AK),3244,516,396,636,15.9,12.2,19.6,56968,51751,62184
2,2016,Aleutians West Census Area (AK),5417,476,369,583,8.8,6.8,10.8,74103,68540,79665
2,2020,Anchorage Borough (AK),292465,24919,21726,28111,8.5,7.4,9.6,76881,73602,80160
2,2050,Bethel Census Area (AK),17539,4429,3717,5140,25.2,21.2,29.3,44378,40914,47841
2,2060,Bristol Bay Borough (AK),921,89,68,110,9.7,7.4,12.0,68245,62081,74409
2,2068,Denali Borough (AK),1877,119,91,146,6.3,4.9,7.8,69900,63251,76549
2,2070,Dillingham Census Area (AK),4958,979,758,1201,19.8,15.3,24.2,49903,45305,54501
2,2090,Fairbanks North Star Borough (AK),95545,8434,6876,9992,8.8,7.2,10.5,68658,63994,73323
2,2100,Haines Borough (AK),2545,276,210,341,10.8,8.3,13.4,56758,51732,61785
2,2105,Hoonah-Angoon Census Area (AK),2112,385,296,474,18.2,14.0,22.4,48389,44661,52117
2,2110,Juneau Borough (AK),31767,2457,1948,2967,7.7,6.1,9.3,81269,75574,86965
2,2122,Kenai Peninsula Borough (AK),56290,6281,5209,7353,11.2,9.3,13.1,63024,58769,67278
2,2130,Ketchikan Gateway Borough (AK),13516,1432,1147,1717,10.6,8.5,12.7,62826,57597,68055
2,2150,Kodiak Island Borough (AK),13783,1111,868,1353,8.1,6.3,9.8,67290,61124,73456
2,2158,Kusilvak Census Area (AK),8059,2805,2378,3231,34.8,29.5,40.1,33926,31371,36481
2,2164,Lake and Peninsula Borough (AK),1605,297,231,364,18.5,14.4,22.7,44119,39936,48301
2,2170,Matanuska-Susitna Borough (AK),96527,9542,8095,10990,9.9,8.4,11.4,72571,69010,76132
2,2180,Nome Census Area (AK),9677,2447,2086,2807,25.3,21.6,29.0,49916,45912,53919
2,2185,North Slope Borough (AK),9605,1241,967,1515,12.9,10.1,15.8,72965,65978,79952
2,2188,Northwest Arctic Borough (AK),7669,1880,1562,2199,24.5,20.4,28.7,56041,51635,60446
2,2195,Petersburg Borough (AK),3152,264,206,322,8.4,6.5,10.2,60098,54555,65640
2,2195,Petersburg Census Area (AK),3800,410,327,493,10.8,8.6,13.0,57952,52617,63288
2,2198,Prince of Wales-Hyder Census Area (AK),6102,1037,804,1270,17.0,13.2,20.8,46067,41983,50151
2,2220,Sitka Borough (AK),8789,775,602,947,8.8,6.9,10.8,66968,61095,72842
2,2230,Skagway Municipality (AK),1026,41,32,51,4.0,3.1,4.9,65894,59447,72341
2,2240,Southeast Fairbanks Census Area (AK),6903,937,729,1146,13.6,10.6,16.6,58127,52644,63609
2,2261,Valdez-Cordova Census Area (AK),9435,893,686,1100,9.5,7.3,11.7,68499,62663,74335
2,2270,Wade Hampton Census Area (AK),7905,2618,2178,3059,33.1,27.6,38.7,31670,29215,34126
2,2275,Wrangell City and Borough (AK),2371,288,224,353,12.2,9.4,14.9,51972,46898,57046
2,2282,Yakutat Borough (AK),631,98,74,122,15.5,11.8,19.3,53601,48347,58856
2,2290,Yukon-Koyukuk Census Area (AK),5587,1330,1082,1578,23.8,19.4,28.2,36296,33237,39355
4,4001,Apache County (AZ),71336,25135,22798,27472,35.2,32.0,38.5,32123,29839,34408
4,4003,Cochise County (AZ),122359,23056,19917,26195,18.8,16.3,21.4,44388,41575,47200
4,4005,Coconino County (AZ),128120,27191,24233,30150,21.2,18.9,23.5,49698,46447,52950
4,4007,Gila County (AZ),52169,11456,9616,13296,22.0,18.4,25.5,39581,36969,42193
4,4009,Graham County (AZ),34175,7708,6352,9064,22.6,18.6,26.5,44301,40703,47900
4,4011,Greenlee County (AZ),9167,1028,821,1235,11.2,9.0,13.5,57473,51869,63077
4,4012,La Paz County (AZ),19953,4693,3710,5677,23.5,18.6,28.5,34177,31179,37174
4,4013,Maricopa County (AZ),4027851,670399,651190,689607,16.6,16.2,17.1,54439,53727,55151
4,4015,Mohave County (AZ),198516,39271,34244,44299,19.8,17.3,22.3,38719,36715,40722
4,4017,Navajo County (AZ),105887,31114,28132,34097,29.4,26.6,32.2,36480,33936,39023
4,4019,Pima County (AZ),979272,185772,175317,196227,19.0,17.9,20.0,45859,44624,47093
4,4021,Pinal County (AZ),373943,62197,55406,68989,16.6,14.8,18.4,50731,48695,52767
4,4023,Santa Cruz County (AZ),46375,10796,8809,12782,23.3,19.0,27.6,36772,33708,39836
4,4025,Yavapai County (AZ),215336,32714,28221,37208,15.2,13.1,17.3,45014,42842,47187
4,4027,Yuma County (AZ),194482,40462,35193,45731,20.8,18.1,23.5,40539,38464,42613
5,5001,Arkansas County (AR),18289,3558,2878,4238,19.5,15.7,23.2,38744,35529,41958
5,5003,Ashley County (AR),20793,4261,3429,5093,20.5,16.5,24.5,38616,35296,41935
5,5005,Baxter County (AR),40422,6250,5045,7455,15.5,12.5,18.4,37264,34367,40160
5,5007,Benton County (AR),241284,27331,23892,30770,11.3,9.9,12.8,58202,55351,61053
